stack,sheet_label,condition,current_density_A_cm2,figure,curves
Stack1,Cell 20,6,1.0,results\figures\eis\by_condition\Stack1\Cell_20\condition_6_1Acm2.png,1
Stack1,Cell 20,7,0.3,results\figures\eis\by_condition\Stack1\Cell_20\condition_7_0.3Acm2.png,2
Stack1,Cell 20,7,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_7_0.7Acm2.png,2
Stack1,Cell 20,7,1.0,results\figures\eis\by_condition\Stack1\Cell_20\condition_7_1Acm2.png,1
Stack1,Cell 22,1,0.3,results\figures\eis\by_condition\Stack1\Cell_22\condition_1_0.3Acm2.png,7
Stack1,Cell 22,1,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_1_0.7Acm2.png,7
Stack1,Cell 22,1,1.0,results\figures\eis\by_condition\Stack1\Cell_22\condition_1_1Acm2.png,1
Stack1,Cell 22,2,0.3,results\figures\eis\by_condition\Stack1\Cell_22\condition_2_0.3Acm2.png,2
Stack1,Cell 22,2,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_2_0.7Acm2.png,3
Stack1,Cell 22,2,1.0,results\figures\eis\by_condition\Stack1\Cell_22\condition_2_1Acm2.png,1
Stack1,Cell 22,3,0.3,results\figures\eis\by_condition\Stack1\Cell_22\condition_3_0.3Acm2.png,2
Stack1,Cell 22,3,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_3_0.7Acm2.png,2
Stack1,Cell 22,3B,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_3B_0.7Acm2.png,1
Stack1,Cell 22,4,0.3,results\figures\eis\by_condition\Stack1\Cell_22\condition_4_0.3Acm2.png,1
Stack1,Cell 22,4,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_4_0.7Acm2.png,1
Stack1,Cell 22,5,0.3,results\figures\eis\by_condition\Stack1\Cell_22\condition_5_0.3Acm2.png,2
Stack1,Cell 22,5,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_5_0.7Acm2.png,2
Stack1,Cell 22,6,0.3,results\figures\eis\by_condition\Stack1\Cell_22\condition_6_0.3Acm2.png,2
Stack1,Cell 22,6,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_6_0.7Acm2.png,2
Stack1,Cell 22,6,1.0,results\figures\eis\by_condition\Stack1\Cell_22\condition_6_1Acm2.png,1
Stack1,Cell 22,7,0.3,results\figures\eis\by_condition\Stack1\Cell_22\condition_7_0.3Acm2.png,2
Stack1,Cell 22,7,0.7,results\figures\eis\by_condition\Stack1\Cell_22\condition_7_0.7Acm2.png,2
Stack1,Cell 22,7,1.0,results\figures\eis\by_condition\Stack1\Cell_22\condition_7_1Acm2.png,1
Stack1,Cell 24,1,0.3,results\figures\eis\by_condition\Stack1\Cell_24\condition_1_0.3Acm2.png,7
Stack1,Cell 24,1,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_1_0.7Acm2.png,7
Stack1,Cell 24,1,1.0,results\figures\eis\by_condition\Stack1\Cell_24\condition_1_1Acm2.png,1
Stack1,Cell 24,2,0.3,results\figures\eis\by_condition\Stack1\Cell_24\condition_2_0.3Acm2.png,2
Stack1,Cell 24,2,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_2_0.7Acm2.png,3
Stack1,Cell 24,2,1.0,results\figures\eis\by_condition\Stack1\Cell_24\condition_2_1Acm2.png,1
Stack1,Cell 24,3,0.3,results\figures\eis\by_condition\Stack1\Cell_24\condition_3_0.3Acm2.png,2
Stack1,Cell 24,3,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_3_0.7Acm2.png,2
Stack1,Cell 24,3B,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_3B_0.7Acm2.png,1
Stack1,Cell 24,4,0.3,results\figures\eis\by_condition\Stack1\Cell_24\condition_4_0.3Acm2.png,1
Stack1,Cell 24,4,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_4_0.7Acm2.png,1
Stack1,Cell 24,5,0.3,results\figures\eis\by_condition\Stack1\Cell_24\condition_5_0.3Acm2.png,2
Stack1,Cell 24,5,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_5_0.7Acm2.png,2
Stack1,Cell 24,6,0.3,results\figures\eis\by_condition\Stack1\Cell_24\condition_6_0.3Acm2.png,2
Stack1,Cell 24,6,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_6_0.7Acm2.png,2
Stack1,Cell 24,6,1.0,results\figures\eis\by_condition\Stack1\Cell_24\condition_6_1Acm2.png,1
Stack1,Cell 24,7,0.3,results\figures\eis\by_condition\Stack1\Cell_24\condition_7_0.3Acm2.png,2
Stack1,Cell 24,7,0.7,results\figures\eis\by_condition\Stack1\Cell_24\condition_7_0.7Acm2.png,2
Stack1,Cell 24,7,1.0,results\figures\eis\by_condition\Stack1\Cell_24\condition_7_1Acm2.png,1
Stack1,Whole Stack,1,0.3,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_1_0.3Acm2.png,7
Stack1,Whole Stack,1,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_1_0.7Acm2.png,7
Stack1,Whole Stack,1,1.0,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_1_1Acm2.png,1
Stack1,Whole Stack,2,0.3,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_2_0.3Acm2.png,2
Stack1,Whole Stack,2,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_2_0.7Acm2.png,3
Stack1,Whole Stack,2,1.0,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_2_1Acm2.png,1
Stack1,Whole Stack,3,0.3,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_3_0.3Acm2.png,2
Stack1,Whole Stack,3,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_3_0.7Acm2.png,2
Stack1,Whole Stack,3B,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_3B_0.7Acm2.png,1
Stack1,Whole Stack,4,0.3,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_4_0.3Acm2.png,1
Stack1,Whole Stack,4,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_4_0.7Acm2.png,1
Stack1,Whole Stack,5,0.3,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_5_0.3Acm2.png,2
Stack1,Whole Stack,5,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_5_0.7Acm2.png,2
Stack1,Whole Stack,6,0.3,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_6_0.3Acm2.png,2
Stack1,Whole Stack,6,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_6_0.7Acm2.png,2
Stack1,Whole Stack,6,1.0,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_6_1Acm2.png,1
Stack1,Whole Stack,7,0.3,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_7_0.3Acm2.png,2
Stack1,Whole Stack,7,0.7,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_7_0.7Acm2.png,2
Stack1,Whole Stack,7,1.0,results\figures\eis\by_condition\Stack1\Whole_Stack\condition_7_1Acm2.png,1
Stack2,Cell 01,1,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_1_0.3Acm2.png,7
Stack2,Cell 01,1,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_1_0.7Acm2.png,7
Stack2,Cell 01,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_1A_0.3Acm2.png,1
Stack2,Cell 01,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_1A_0.7Acm2.png,1
Stack2,Cell 01,2,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_2_0.3Acm2.png,2
Stack2,Cell 01,2,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_2_0.7Acm2.png,2
Stack2,Cell 01,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_2A_0.3Acm2.png,1
Stack2,Cell 01,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_2A_0.7Acm2.png,1
Stack2,Cell 01,3,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_3_0.3Acm2.png,1
Stack2,Cell 01,3,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_3_0.7Acm2.png,2
Stack2,Cell 01,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_3A_0.3Acm2.png,1
Stack2,Cell 01,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_3A_0.7Acm2.png,1
Stack2,Cell 01,4,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_4_0.3Acm2.png,1
Stack2,Cell 01,4,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_4_0.7Acm2.png,1
Stack2,Cell 01,5,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_5_0.3Acm2.png,2
Stack2,Cell 01,5,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_5_0.7Acm2.png,2
Stack2,Cell 01,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_5A_0.3Acm2.png,1
Stack2,Cell 01,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_5A_0.7Acm2.png,1
Stack2,Cell 01,6,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_6_0.3Acm2.png,2
Stack2,Cell 01,6,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_6_0.7Acm2.png,2
Stack2,Cell 01,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_6A_0.3Acm2.png,1
Stack2,Cell 01,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_6A_0.7Acm2.png,1
Stack2,Cell 01,7,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_7_0.3Acm2.png,2
Stack2,Cell 01,7,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_7_0.7Acm2.png,2
Stack2,Cell 01,8,0.3,results\figures\eis\by_condition\Stack2\Cell_01\condition_8_0.3Acm2.png,1
Stack2,Cell 01,8,0.7,results\figures\eis\by_condition\Stack2\Cell_01\condition_8_0.7Acm2.png,1
Stack2,Cell 03,1,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_1_0.3Acm2.png,7
Stack2,Cell 03,1,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_1_0.7Acm2.png,7
Stack2,Cell 03,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_1A_0.3Acm2.png,1
Stack2,Cell 03,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_1A_0.7Acm2.png,1
Stack2,Cell 03,2,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_2_0.3Acm2.png,2
Stack2,Cell 03,2,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_2_0.7Acm2.png,2
Stack2,Cell 03,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_2A_0.3Acm2.png,1
Stack2,Cell 03,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_2A_0.7Acm2.png,1
Stack2,Cell 03,3,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_3_0.3Acm2.png,1
Stack2,Cell 03,3,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_3_0.7Acm2.png,2
Stack2,Cell 03,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_3A_0.3Acm2.png,1
Stack2,Cell 03,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_3A_0.7Acm2.png,1
Stack2,Cell 03,4,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_4_0.3Acm2.png,1
Stack2,Cell 03,4,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_4_0.7Acm2.png,1
Stack2,Cell 03,5,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_5_0.3Acm2.png,2
Stack2,Cell 03,5,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_5_0.7Acm2.png,2
Stack2,Cell 03,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_5A_0.3Acm2.png,1
Stack2,Cell 03,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_5A_0.7Acm2.png,1
Stack2,Cell 03,6,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_6_0.3Acm2.png,2
Stack2,Cell 03,6,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_6_0.7Acm2.png,2
Stack2,Cell 03,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_6A_0.3Acm2.png,1
Stack2,Cell 03,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_6A_0.7Acm2.png,1
Stack2,Cell 03,7,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_7_0.3Acm2.png,2
Stack2,Cell 03,7,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_7_0.7Acm2.png,2
Stack2,Cell 03,8,0.3,results\figures\eis\by_condition\Stack2\Cell_03\condition_8_0.3Acm2.png,1
Stack2,Cell 03,8,0.7,results\figures\eis\by_condition\Stack2\Cell_03\condition_8_0.7Acm2.png,1
Stack2,Cell 05,1,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_1_0.3Acm2.png,7
Stack2,Cell 05,1,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_1_0.7Acm2.png,7
Stack2,Cell 05,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_1A_0.3Acm2.png,1
Stack2,Cell 05,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_1A_0.7Acm2.png,1
Stack2,Cell 05,2,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_2_0.3Acm2.png,2
Stack2,Cell 05,2,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_2_0.7Acm2.png,2
