stack,cycle_label,cycles,condition,current_density_A_cm2,file,sheet,sheet_label,fit_status,split_z_re_ohm,R_ohm_ohm,R_anode_ct_ohm,R_cathode_ct_ohm,R_total_fit_ohm,anode_fit_rmse,cathode_fit_rmse,anode_center_x,anode_center_y,anode_radius,cathode_center_x,cathode_center_y,cathode_radius,figure
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet4,Cell 05,ok,0.0011376,0.00034235106983159923,0.0010187765776230114,0.0005409248137367229,0.0015597013913597343,1.6764344418468173e-05,8.276244091199654e-06,0.0008517393586431049,-0.00020397104895745246,0.0005487081351603213,0.0013062481587264205,5.3195856402798105e-05,0.0002756441776411289,results\figures\eis_fits\Stack1\Cell_05\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet5,Cell 10,ok,0.00084573,0.00033047005966326394,0.0012050401507053997,0.0009968881671843794,0.0022019283178897793,9.393336571921774e-06,3.971328367767853e-05,0.0009329901350159638,-0.00030268483896124065,0.0006742763179439237,0.0012018817924999703,0.0007973889835507469,0.0004984440835921897,results\figures\eis_fits\Stack1\Cell_10\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet6,Cell 15,ok,0.00043121,0.00032737776808325494,0.00016600418072572129,0.0015136873337754288,0.00167969151450115,1.426349181480538e-05,3.6316588291309915e-05,0.00041037985844611557,2.340402502937361e-05,8.623859572244918e-05,0.0010650316060100643,-0.0005310519184864173,0.0009245693463641037,results\figures\eis_fits\Stack1\Cell_15\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet7,Cell 20,ok,0.00084312,0.0003345579986367345,0.0010798459064284632,0.0008727447354112141,0.0019525906418396773,1.2293225155022128e-05,4.882271307395167e-05,0.0008744809518509661,-0.00023107372253397817,0.0005872919722363718,0.001205231191060868,0.00073322438689423,0.00043637236770560704,results\figures\eis_fits\Stack1\Cell_20\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet8,Cell 22,ok,0.0010504,0.00032871651604646375,0.001113110684537839,0.000681595722483388,0.0017947064070212271,8.99084869646794e-06,2.399123809457691e-05,0.0008852718583153833,-0.00026268067298593434,0.000615430731251225,0.0013167517775378355,3.890146496908099e-05,0.00034301094181330945,results\figures\eis_fits\Stack1\Cell_22\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet9,Cell 24,ok,0.00098562,0.0003305514838389872,0.0010382487642183545,0.0006851886965470781,0.0017234374607654327,1.7314853931237903e-05,4.142945175514112e-05,0.0008496758659481645,-0.0002305406240199973,0.0005680132951118,0.0012832813257178466,4.0233357152827846e-05,0.0003449487070518717,results\figures\eis_fits\Stack1\Cell_24\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet1,Whole Stack,ok,0.011397,0.003095383865160763,0.0017735616130755095,0.037442926653193785,0.03921648826626929,0.00032126498725977147,0.0002050827918265512,0.003982164671698518,0.007399620241185573,0.007452567337005885,0.028032440449353112,-0.005868147338212471,0.019619590777385815,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet2,Cell 01,ok,0.00032428,0.0002405731324346628,8.590674671500707e-05,0.0015527695901551685,0.0016386763368701756,1.1536180342978096e-05,1.3364135922040173e-05,0.0002835265057921663,6.131829034608112e-05,4.295337335750354e-05,0.0011088556872851413,-0.00028147353561051554,0.0008258333374699441,results\figures\eis_fits\Stack1\Cell_01\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet3,Cell 03,ok,0.00034353,0.00021506993724062167,0.00011645012670940763,0.001567450264737802,0.0016839003914472096,1.0014848111340274e-05,1.4664218365612455e-05,0.0002732950005953255,1.886531162722363e-05,6.120504869250193e-05,0.0011365152582465741,-0.0002610936867988919,0.0008260720285743182,results\figures\eis_fits\Stack1\Cell_03\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet4,Cell 05,ok,0.00034437,0.0001731503363621821,0.00015681200927730515,0.0016165246197883448,0.00177333662906565,1.2860936446385912e-05,1.4684722848722868e-05,0.00025155634100083467,4.0284315631846854e-05,8.814946199111297e-05,0.0011610499653965116,-0.00029683106126521497,0.0008610439248536029,results\figures\eis_fits\Stack1\Cell_05\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
