stack,cycle_label,cycles,file,Cmon_Current (A/cm^2),Cell1 (mV),Cell10 (mV),Cell15 (mV),Cell24 (mV),Minimum_Voltage (mV),Average_Voltage (mV),Maximum_Voltage (mV)
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.39937179487179,504.302479338843,503.727272727273,501.514049586778,491.307438016529,489.793388429752,505.654545454545,519.823140495869
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.49889025641026,472.277685950413,470.990082644628,467.157024793389,458.371900826446,453.97520661157,473.026446280992,489.380165289257
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.59913179487179,436.085950413224,433.963636363636,426.280991735537,416.061157024793,411.986776859504,435.279338842975,454.846280991736
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,1.59919743589744,449.719327731092,448.726050420168,447.057142857143,436.075630252101,433.048739495799,453.097478991596,472.808403361344
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,1.49895589743589,488.18347107438,489.355371900826,493.490909090909,485.036363636363,473.557024793389,494.371074380165,510.18347107438
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,1.39943743589743,519.442975206612,520.919008264463,526.282644628099,522.001652892562,505.758677685951,526.721487603306,540.485950413223
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,1.29926153846154,545.451239669422,551.090909090909,556.953719008265,553.578512396694,533.588429752067,555.151239669422,568.147107438016
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,1.19908615384616,569.613223140496,575.370247933885,582.097520661157,581.755371900826,558.140495867768,580.185950413223,593.052892561984
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,1.09884461538462,592.844628099173,601.454545454546,607.489256198347,609.803305785124,584.786776859504,605.767768595042,618.428099173554
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.998536923076925,614.553719008264,624.960330578513,631.259504132232,634.102479338843,607.47438016529,628.596694214876,641.261157024793
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.899610256410257,631.988429752065,646.618181818182,653.515702479339,654.161983471074,628.127272727272,649.055371900826,662.264462809918
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.799434358974358,652.016528925621,665.78347107438,672.315702479339,674.880991735538,647.036363636364,668.876859504132,681.867768595041
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.699324615384616,669.327272727273,685.752066115702,691.897520661157,693.09090909091,667.76694214876,687.910743801653,700.616528925619
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.599016923076924,689.114049586777,705.039669421487,711.957024793388,711.360330578512,685.314049586777,705.914876033058,718.285950413223
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.498907179487178,708.39173553719,723.869421487603,728.811570247933,729.497520661157,706.535537190083,724.895041322314,735.522314049586
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.400045641025641,728.333884297521,744.533884297521,748.431404958678,746.15867768595,726.912396694216,744.038016528926,754.008264462809
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.29921282051282,751.62479338843,766.05785123967,769.839669421488,765.63305785124,750.226446280992,765.711570247934,775.38347107438
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.199475282898919,779.209917355371,795.029752066116,801.211570247934,797.087603305785,778.728925619834,795.300826446281,808.510743801653
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0987454757363851,815.809917355372,831.785123966943,841.299173553719,835.723966942149,815.697520661157,833.195041322314,847.912396694215
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0789441025641025,824.512396694215,841.033057851239,850.952066115702,844.586776859504,824.37520661157,842.100826446281,856.732231404958
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0592246153846155,837.252459016393,853.291803278689,863.616393442622,857.249180327869,837.311475409836,854.962295081968,869.114754098361
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0395051282051282,853.616393442623,868.770491803278,879.032786885246,873.380327868853,853.550819672131,870.67868852459,884.754098360655
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0189964102564103,879.836363636364,894.418181818182,903.581818181818,899.081818181818,879.7,896.022727272727,908.818181818182
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.00315538461538461,924.818181818182,938.636363636364,947.618181818182,942.618181818182,924.381818181818,940.618181818182,952.890909090909
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0189964102564103,873.609523809524,888.457142857143,897.971428571428,892.114285714286,873.733333333333,890.152380952381,902.942857142857
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0394427154266498,846.098360655738,861.518032786886,871.829508196721,865.016393442622,845.983606557377,863.293442622951,877.409836065574
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0592246153846155,827.422950819672,843.370491803279,853.970491803279,846.731147540983,827.583606557377,845.172131147541,859.839344262295
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0789441025641025,813.525619834711,829.495867768595,838.953719008264,832.727272727273,813.514049586777,830.847933884298,845.396694214876
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.0987297435897439,801.842975206612,817.357024793388,826.923966942149,820.456198347107,801.757024793389,818.820661157026,833.094214876033
Stack1,300Cycles,300,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_300Cycles_1.xlsx,0.199628717948718,762.380165289256,777.500826446281,783.844628099174,777.796694214877,762.099173553719,777.719834710743,789.743801652892
